GrantNum,GrantDate,GrantAmt,Status,Institute ID,Institution,State,Latitude,Longitude,PayeeAddress1,PayeeAddress2,PayeeCityStZip,PayeeZip,PayeeCountry,Region,Program
20081243,7/8/08,$300,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20081244,7/8/08,"$1,000.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20081296,7/9/08,"$1,250.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20081297,7/9/08,"$1,250.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20081353,7/22/08,"$1,000.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20081355,7/22/08,$300.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20090158,2/3/09,$300.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20090159,2/3/09,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20091276,7/10/09,$400.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,ACU box 29007,"Abilene, TX 79699",79699,USA,United States,Education
20091277,7/10/09,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,ACU box 29007,"Abilene, TX 79699",79699,USA,United States,Education
20091278,7/10/09,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,ACU box 29007,"Abilene, TX 79699",79699,USA,United States,Education
20091606,7/23/09,"$2,250.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20091730,8/13/09,"$1,700.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20092720,12/15/09,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20100145,1/12/10,"$1,700.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20102455,9/14/10,"$1,800.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20110050,1/11/11,"$1,800.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20112518,9/1/11,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20120729,2/10/12,"$1,900.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20122692,7/31/12,"$2,000.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20130271,1/22/13,"$2,000.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20132126,5/13/13,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,Austin,Education
20132127,5/13/13,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,Austin,Education
20132128,5/13/13,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,Austin,Education
20132129,5/13/13,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,Austin,Education
20132130,5/13/13,$500.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,Austin,Education
20141606,6/25/14,"$2,300.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20141821,6/27/14,"$2,300.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,Austin,Education
20141898,7/15/14,$750.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20151857,9/29/15,"$1,000.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20161414,6/27/16,$200.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,Austin,Education
20161716,8/1/16,$300.00,Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20171654,7/10/17,"$1,000.00",Approved,16115,Abilene Christian University,Texas,32.4697 N,99.7081 W,Financial Aid Office,Box 27940,"Abilene, TX 79699",79699,USA,United States,Education
20182108,7/17/18,"$2,000.00",Approved,103580,ACT San Antonio,Texas,29.4892 N,98.5440 W,Office of Financial Aid,"6800 Park Ten Blvd, #290","San Antonio, TX 78213",78213,USA,No Region,Education
20182094,7/17/18,"$1,500.00",Approved,103606,Alabama A M University,Alabama,34.7846 N,86.5720 W,Office of Financial Aid,P.O. Box 907,"Normal, AL 35762",35762,USA,No Region,Education
20172878,11/2/17,"$2,000.00",Approved,100247,Alabama State University,Alabama,32.3637 N,86.2941 W,Bizz Grade Hall,PO Box 5615,"Montgomery, AL 36103-5615",36103-5615,USA,Austin,Education
20182246,7/24/18,"$2,000.00",Approved,100247,Alabama State University,Alabama,32.3637 N,86.2941 W,915 S Jackson Street,,"Montgomery, AL 36104",36104,,Austin,Education
20132610,6/27/13,$500.00,Approved,27146,Alamo College,Texas,29.4458 N,98.4960 W,Financial Aid Office,3535 N. Ellison Drive,"San Antonio, TX 78251",78251,USA,Austin,Education
20161944,9/7/16,"$1,000.00",Approved,95395,Allen University,South Carolina,34.0107 N,81.0202 W,Financial Aid Office,1530 Harden Street,"Columbia, SC 29204",29204,USA,Austin,Education
20182478,8/6/18,"$1,000.00",Approved,104061,Alliant International University,California,34.0816 N,118.1512 W,Office of Financial Aid,5130 East Clinton Way,"Fresno, CA 93727",93727,USA,Austin,Education
20161947,9/7/16,"$2,000.00",Approved,95397,Allstate Commercial Driver Training School,Connecticut,41.3942 N,73.0632 W,Scholarship,249 Pearl Street,"Seymour, CT 06483",6483,USA,Austin,Education
20182083,7/17/18,$300.00,Approved,103592,American Academy of Phlebotomy,Maryland,39.3578 N,76.7038 W,Office of Financial Aid,"6615 Reisterstown Road, Suite LL2","Baltimore, MD 21215",21215,USA,No Region,Education
20123352,10/4/12,$500.00,Approved,78007,American Council on Exercise,Texas,29.4283 N,98.5131 W,4851 Paramount Drive,,"San Diego, CA 92123",92123,USA,Austin,Education
